faculty,application,lowest_score,highest_score
دیپارتمنت هایدرومترولوژی (ذکور) پوهنځی زمین شناسی پوهنتون کابل ,60,183.0658,269.671
دیپارتمنت زبان و ادبیات روسی (ذکور) پوهنځی زبانهای خارجی پوهنتون کابل ,60,197.0974,267.5568
دیپارتمنت بشرشناسی و باستان شناسی (ذکور) پوهنځی علوم اجتماعی پوهنتون کابل ,60,176.424,267.2873
دیپارتمنت سینما (ذکور) پوهنځی هنرهای زیبا پوهنتون کابل ,60,186.5616,266.646
دیپارتمنت اگرانومی (ذکور) پوهنځی زراعت پوهنتون کابل ,60,196.5023,264.1017
دیپارتمنت زبان و ادبیات عربی (ذکور) پوهنځی زبانهای خارجی پوهنتون کابل ,60,209.8959,263.4384
دیپارتمنت دعوت (ذکور) پوهنځی شرعیات پوهنتون کابل ,60,204.8821,263.1799
دیپارتمنت جغرافیه (ذکور) پوهنځی زمین شناسی پوهنتون کابل ,60,188.4448,261.9699
دیپارتمنت زبان و ادبیات پشتو (ذکور) پوهنځی زبان و ادبیات ملی پوهنتون کابل ,60,196.246,261.9281
دیپارتمنت پیداگوژی (ذکور) پوهنځی روانشناسی و علوم تربیتی پوهنتون کابل ,60,172.3529,259.958
دیپارتمنت هارتیکلچر (باغداری) (ذکور) پوهنځی زراعت پوهنتون کابل ,60,191.7404,259.5972
دیپارتمنت خاکشناسی و آبیاری (ذکور) پوهنځی زراعت پوهنتون کابل ,60,191.3532,259.2001
دیپارتمنت منابع طبیعی (ذکور) پوهنځی محیط زیست پوهنتون کابل ,60,204.0571,256.5227
دیپارتمنت جیولوجی (ذکور) پوهنځی زمین شناسی پوهنتون کابل ,60,193.7611,252.4802
دیپارتمنت جنگلات و منابع طبیعی (ذکور) پوهنځی زراعت پوهنتون کابل ,60,194.5124,244.9397
دیپارتمنت ادبیات نمایشی (ذکور) پوهنځی هنرهای زیبا پوهنتون کابل ,60,168.7119,240.07
دیپارتمنت حفاظۀ نباتات (ذکور) پوهنځی زراعت پوهنتون کابل ,60,187.094,236.6259
دیپارتمنت تاریخ عمومی (ذکور) پوهنځی علوم اجتماعی پوهنتون کابل ,60,176.0632,236.1947
دیپارتمنت علوم حیوانی (ذکور) پوهنځی زراعت پوهنتون کابل ,60,187.5549,227.0152
دیپارتمنت زبان و ادبیات اوزبیکی (ذکور) پوهنځی زبان و ادبیات ملی پوهنتون کابل ,60,157.2895,204.3772
دیپارتمنت سیستم های معلوماتی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون پولی تخنیک کابل ,60,306.1305,338.3891
دیپارتمنت انجنیری شبکه (ذکور) پوهنځی کمپیوتر ساینس پوهنتون پولی تخنیک کابل ,60,300.5964,331.1808
دیپارتمنت انجنیری کمپیوتر (ذکور) پوهنځی کمپیوتر ساینس پوهنتون پولی تخنیک کابل ,60,283.7928,323.8724
دیپارتمنت شهرسازی (ذکور) پوهنځی ساختمانی پوهنتون پولی تخنیک کابل ,60,267.2125,322.207
دیپارتمنت مهندسی (ذکور) پوهنځی ساختمانی پوهنتون پولی تخنیک کابل ,60,278.9792,321.2665
دیپارتمنت ساختمانهای صنعتی و مدنی (ذکور) پوهنځی ساختمانی پوهنتون پولی تخنیک کابل ,60,285.8058,320.5295
دیپارتمنت سیستم اطلاعات جغرافیایی (ذکور) پوهنځی جیوماتیک و کدستر پوهنتون پولی تخنیک کابل ,60,231.9399,317.6046
دیپارتمنت ادارۀ اعمار ساختمانها (ذکور) پوهنځی ساختمانی پوهنتون پولی تخنیک کابل ,60,272.5035,314.9459
دیپارتمنت انجنیری اتومیخانیک (ذکور) پوهنځی الکترومیخانیک پوهنتون پولی تخنیک کابل ,60,251.1492,311.3522
دیپارتمنت هایدرولیک و ساختمانهای هایدروتخنیکی (ذکور) پوهنځی انجنیری منابع آب و محیط زیست پوهنتون پولی تخنیک کابل ,60,242.5582,309.2952
دیپارتمنت راه آهن (ذکور) پوهنځی ساختمان های ترانسپورتی پوهنتون پولی تخنیک کابل ,60,206.8951,307.5561
دیپارتمنت انجنیری جیولوجی و اکتشاف معادن (ذکور) پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل ,60,225.9691,306.3846
دیپارتمنت انجنیری برق (ذکور) پوهنځی الکترومیخانیک پوهنتون پولی تخنیک کابل ,60,264.5912,302.9504
