faculty,application,lowest_score,highest_score
دیپارتمنت تعلیمات کمپیوتر پوهنځی کمپیوتر ساینس پوهنتون تعلیم و تربیه کابل,40,258.7132,302.089
دیپارتمنت انجنیری آبرسانی و محیط زیست پوهنځی انجنیری آب و محیط زیست پوهنتون پولی تخنیک کابل,40,251.2491,301.1743
دیپارتمنت احصائیه و اکونومتری پوهنځی اقتصاد پوهنتون کابل,40,258.4347,300.5917
دیپارتمنت ساینس و انجنیری معلوماتی پوهنځی تکنالوژی معلوماتی ومخابراتی پوهنتون کابل,42,262.6068,299.5337
دیپارتمنت عمومی پوهنځی ریاضیات پوهنتون کابل,42,249.8355,299.5233
دیپارتمنت روابط عامه پوهنځی ارتباطات و ژورنالیزم پوهنتون کابل,42,220.4882,296.5489
دیپارتمنت انجنیری جیولوجی و اکتشاف معادن پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل,42,246.513,296.1659
دیپارتمنت انجنیری ساختمانهای آب پوهنځی انجنیری آب و محیط زیست پوهنتون پولی تخنیک کابل,42,253.7252,294.9774
دیپارتمنت ژورنالیزم پوهنځی ارتباطات و ژورنالیزم پوهنتون کابل,42,235.1197,294.2948
دیپارتمنت حفاظت محیط زیست پوهنځی علوم طبیعی پوهنتون تعلیم و تربیه کابل,42,178.5867,293.4905
دیپارتمنت هایدرومیترولوژی پوهنځی زمین شناسی پوهنتون کابل,42,188.7701,293.3239
دیپارتمنت مدیریت توسعه پوهنځی اداره و پالیسی عامه پوهنتون کابل,42,253.1088,289.9672
انستیتیوت کثیرالرشتوی ولسوالی سروبی ولایت کابل,42,163.9993,288.9215
دیپارتمنت راه آهن پوهنځی ساختمان های ترانسپورتی پوهنتون پولی تخنیک کابل,42,231.2791,288.5797
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون کابل (مدارس),42,221.5986,286.8512
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون کابل,42,225.6623,285.827
دیپارتمنت حفاظت محیط زیست پوهنځی محیط زیست پوهنتون کابل,42,229.9238,285.8261
دیپارتمنت عمومی پوهنځی علوم وترنری پوهنتون کابل,42,226.3562,285.4952
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون کابل,42,209.7219,282.0765
دیپارتمنت زبان و ادبیات چینایی پوهنځی زبان و ادبیات خارجی پوهنتون کابل,42,238.8097,280.0505
دیپارتمنت ادبیات نمایشی پوهنځی هنرهای زیبا پوهنتون کابل,42,152.5744,279.7727
دیپارتمنت جنگلداری و منابع طبیعی پوهنځی زراعت پوهنتون کابل,42,174.45,278.8373
دیپارتمنت انجنیری صنایع کیمیاوی نفت و گاز پوهنځی انجنیری صنایع کیمیاوی پوهنتون پولی تخنیک کابل,42,236.9469,277.8354
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون تعلیم و تربیه کابل,42,218.6162,277.8338
دیپارتمنت مطالعه وارتباطات پوهنځی ارتباطات و ژورنالیزم پوهنتون کابل,42,218.7921,276.8112
دیپارتمنت جیولوجی پوهنځی زمین شناسی پوهنتون کابل,42,193.0668,275.6773
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات ملی پوهنتون کابل,42,205.737,273.8728
دیپارتمنت مدیریت آموزشی پوهنځی علوم تربیتی ومسلکی پوهنتون تعلیم و تربیه کابل,42,182.386,273.7972
دیپارتمنت انجنیری صنایع مواد غذایی پوهنځی انجنیری صنایع کیمیاوی پوهنتون پولی تخنیک کابل,42,229.1091,273.74
دیپارتمنت ترانه و تصنیف پوهنځی هنرهای زیبا پوهنتون کابل,42,154.1688,272.3165
دیپارتمنت تیاتر پوهنځی هنرهای زیبا پوهنتون کابل,42,160.015,271.8337
دیپارتمنت روانشناسی عمومی پوهنځی روانشناسی پوهنتون تعلیم و تربیه کابل,42,228.5806,271.5941
دیپارتمنت نفت و گاز پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل,42,229.3756,271.0427
دیپارتمنت جیولوجی انجنیری وهایدروجیولوجی معادن پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل,42,225.6843,270.458
دیپارتمنت فلسفه و جامعه شناسی پوهنځی علوم اجتماعی پوهنتون کابل,42,197.0831,270.2944
دیپارتمنت عمومی پوهنځی کیمیا پوهنتون کابل,42,203.148,268.7086
دیپارتمنت انجنیری صنایع مواد غیر عضوی پوهنځی انجنیری صنایع کیمیاوی پوهنتون پولی تخنیک کابل,42,215.699,268.4343
دیپارتمنت زبان و ادبیات فرانسوی پوهنځی زبان و ادبیات خارجی پوهنتون کابل,42,200.1758,267.1233
دیپارتمنت مدیریت حوادث پوهنځی محیط زیست پوهنتون کابل,42,215.0493,266.9138
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون کابل (مدارس),42,196.5536,266.6165
