faculty,application,lowest_score,highest_score
انستیتیوت معاون انجنیری ولایت پروان,43,140.3191,180.3257
دیپارتمنت تاریخ پوهنځی علوم اجتماعی پوهنتون پروان,43,150.667,178.4132
دیپارتمنت جغرافیه پوهنځی علوم اجتماعی پوهنتون پروان,43,152.9248,175.4508
انستیتیوت کثیرالرشتوی سیاه گرد ولایت پروان,43,141.4846,169.0083
انستیتیوت کثیرالرشتوی گلبهار ولایت پروان,43,141.9383,165.0578
دارالعلوم/دارالحفاظ عبدالروف حجت ولایت پروان,43,165.0015,165.0015
انستیتیوت زراعت سید خیل ولایت پروان,43,145.8458,159.6628
دیپارتمنت عمومی پوهنځی طب پوهنتون ننگرهار,43,336.3833,348.646
دیپارتمنت انجنیری نرم افزار پوهنځی کمپیوتر ساینس پوهنتون ننگرهار,43,314.8254,334.8522
دیپارتمنت سیول پوهنځی انجنیری پوهنتون ننگرهار,43,307.9337,329.0502
دیپارتمنت عمومی پوهنځی ستوماتولوژی پوهنتون ننگرهار,43,305.8645,326.4844
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون ننگرهار,43,283.3753,323.4674
دیپارتمنت تکنالوژی معلوماتی پوهنځی کمپیوتر ساینس پوهنتون ننگرهار,43,308.4518,321.3873
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون ننگرهار,43,300.7681,316.8294
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون ننگرهار,43,226.4125,308.319
دیپارتمنت کیمیا پوهنځی ساینس پوهنتون ننگرهار,43,172.9309,304.9062
دیپارتمنت مهندسی پوهنځی انجنیری پوهنتون ننگرهار,43,255.8601,303.9603
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون ننگرهار,43,179.7656,303.6306
دیپارتمنت اقتصاد ملی پوهنځی اقتصاد پوهنتون ننگرهار,43,248.6058,299.8978
دیپارتمنت امورمالی و بانکی پوهنځی اقتصاد پوهنتون ننگرهار,43,257.4137,299.8864
دیپارتمنت سوداگری پوهنځی اقتصاد پوهنتون ننگرهار,43,234.9427,299.1378
دیپارتمنت انجنیری منابع آب و حفاظت محیط زیست پوهنځی انجنیری پوهنتون ننگرهار,43,242.7825,297.3868
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون ننگرهار,43,202.9198,296.5933
دیپارتمنت عمومی پوهنځی وترنری پوهنتون ننگرهار,43,211.2748,296.4421
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون ننگرهار,43,205.9684,288.6805
دیپارتمنت جیولوجی و معدن پوهنځی ساینس پوهنتون ننگرهار,43,201.1011,270.569
دیپارتمنت اداره عامه پوهنځی اداره و پالیسی عامه پوهنتون ننگرهار,43,231.068,266.4961
دیپارتمنت پالیسی عامه پوهنځی اداره و پالیسی عامه پوهنتون ننگرهار,43,212.9824,266.0873
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون ننگرهار,43,166.8419,262.1809
دیپارتمنت رادیو تلویزیون پوهنځی ژورنالیزم پوهنتون ننگرهار,43,206.2096,261.2775
دیپارتمنت فزیک پوهنځی ساینس پوهنتون ننگرهار,43,177.9266,260.5066
دیپارتمنت مدیریت و انکشاف پوهنځی اداره و پالیسی عامه پوهنتون ننگرهار,43,202.6338,259.2299
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون ننگرهار,43,199.6249,258.1057
دیپارتمنت ریاضی پوهنځی ساینس پوهنتون ننگرهار,43,181.032,251.3695
دیپارتمنت روانشناسی و علوم تربیتی پوهنځی تعلیم و تربیه پوهنتون ننگرهار,43,189.8498,251.0063
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون ننگرهار,43,171.1888,249.9483
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون ننگرهار,44,196.4224,248.737
دیپارتمنت ثقافت اسلامی پوهنځی شرعیات پوهنتون ننگرهار,44,176.1005,247.9101
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون ننگرهار,44,187.957,247.1205
دیپارتمنت اگری بزنس پوهنځی زراعت پوهنتون ننگرهار,44,184.2798,246.0392
دیپارتمنت بیولوژی پوهنځی ساینس پوهنتون ننگرهار,44,188.5615,243.5845
دیپارتمنت زبان و ادبیات پشتو پوهنځی تعلیم و تربیه پوهنتون ننگرهار,44,171.2235,240.0096
دیپارتمنت ارتباطات عامه پوهنځی ژورنالیزم پوهنتون ننگرهار,44,189.642,239.8423
دیپارتمنت مطبوعات پوهنځی ژورنالیزم پوهنتون ننگرهار,44,188.1331,235.7881
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون ننگرهار,44,163.3616,234.758
دیپارتمنت زبان و ادبیات آلمانی پوهنځی زبان و ادبیات پوهنتون ننگرهار,44,185.2041,233.0181
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون ننگرهار (مدارس),44,155.5232,232.5336
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون ننگرهار (مدارس),44,156.1502,227.6784
دیپارتمنت حفاظۀ نباتات پوهنځی زراعت پوهنتون ننگرهار,44,179.7777,221.9299
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون ننگرهار,44,188.8811,221.1166
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون ننگرهار,44,182.244,220.5879
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون ننگرهار,44,187.935,220.2109
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون ننگرهار (مدارس),44,168.7009,217.4269
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات پوهنتون ننگرهار,44,161.8652,204.8562
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون ننگرهار,44,175.9902,203.0053
دیپارتمنت ثقافت اسلامی پوهنځی شرعیات پوهنتون ننگرهار (مدارس),44,150.3915,201.4323
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون ننگرهار,44,170.6595,198.196
دیپارتمنت تاریخ پوهنځی تعلیم و تربیه پوهنتون ننگرهار,44,161.3462,197.4376
دیپارتمنت زبان و ادبیات هندی پوهنځی زبان و ادبیات پوهنتون ننگرهار,44,151.7245,196.0161
انستیتیوت اداره و حسابداری ولایت ننگرهار,44,140.121,189.6749
دیپارتمنت جغرافیه پوهنځی تعلیم و تربیه پوهنتون ننگرهار,44,163.2409,189.5215
انستیتیوت زراعت ولایت ننگرهار,44,140.4732,187.1099
انستیتیوت مسلکی و میخانیکی ولایت ننگرهار,44,140.2313,178.0032
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون ننگرهار (مدارس),44,150.4916,163.1853
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون ننگرهار (مدارس),44,159.1874,162.9087
انستیتیوت زراعت مهمند دره ولایت ننگرهار,44,147.3753,162.2626
انستیتیوت تخنیکی و مسلکی هسکه مینه ولایت ننگرهار,44,146.4631,146.4631
انستیتیوت زراعت ولسوالی چپرهار ولایت ننگرهار,44,143.181,143.181
دیپارتمنت عمومی پوهنځی طب پوهنتون پکتیا,44,325.1088,341.171
دیپارتمنت انجنیری شبکه پوهنځی کمپیوتر ساینس پوهنتون پکتیا,44,262.18,317.0173
دیپارتمنت سیول پوهنځی انجنیری پوهنتون پکتیا,44,287.3582,315.0462
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون پکتیا,44,276.0723,309.057
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون پکتیا,44,266.2634,302.9473
دیپارتمنت مهندسی پوهنځی انجنیری پوهنتون پکتیا,44,233.3336,291.1786
دیپارتمنت تأمین برق پوهنځی انجنیری پوهنتون پکتیا,44,248.9256,286.1252
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,185.3258,280.9709
دیپارتمنت امورمالی و بانکی پوهنځی اقتصاد پوهنتون پکتیا,44,234.0862,273.3324
دیپارتمنت ژورنالیزم پوهنځی زبان و ادبیات پوهنتون پکتیا,44,183.7737,272.2422
دیپارتمنت آموزش کمپیوتر پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,203.5031,270.3929
انستیتیوت کثیرالرشتوی گردیز ولایت پکتیا,44,140.9357,262.3256
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,150.2933,254.6374
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون پکتیا,44,201.9513,254.2435
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون پکتیا,44,173.5123,245.1682
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون پکتیا,44,197.3264,244.2026
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون پکتیا,44,202.6976,243.1363
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات پوهنتون پکتیا,44,151.702,242.4853
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون پکتیا,44,181.0986,241.5047
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,172.3549,231.8836
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون پکتیا,44,175.6709,219.1897
دیپارتمنت جنگلداری و منابع طبیعی پوهنځی زراعت پوهنتون پکتیا,44,156.184,219.0028
دیپارتمنت تاریخ پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,151.8793,217.143
انستیتیوت زراعت ولسوالی څمکنی ولایت پکتیا,44,145.0312,215.0292
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون پکتیا,44,157.682,214.4038
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,160.069,210.9334
دیپارتمنت حفاظۀ نباتات پوهنځی زراعت پوهنتون پکتیا,44,158.3301,202.0598
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,150.7242,201.3452
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون پکتیا,44,171.409,198.6902
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,150.6779,195.5536
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون پکتیا,44,162.0295,195.0378
دیپارتمنت زبان و ادبیات پشتو پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,162.3601,192.9225
انستیتیوت زراعت و وترنری ولایت پکتیا,44,140.3516,192.4593
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون پکتیا (مدارس),44,150.2386,187.8787
دیپارتمنت جغرافیه پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,151.3304,187.3976
دیپارتمنت علوم و فرهنگ اسلامی پوهنځی تعلیم و تربیه پوهنتون پکتیا,44,150.2497,181.5593
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون پکتیا,44,150.1378,175.6829
دیپارتمنت حقوق  پوهنځی حقوق پوهنتون پکتیا (مدارس),44,151.2516,166.631
دارالعلوم/دارالحفاظ مرکزی ولایت پکتیا,44,159.6193,159.6193
دیپارتمنت سیول پوهنځی انجنیری مؤسسه تحصیلات عالی پکتیکا,44,229.0987,281.1249
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد مؤسسه تحصیلات عالی پکتیکا,44,205.1102,260.1317
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت مؤسسه تحصیلات عالی پکتیکا,44,152.6164,240.5922
دیپارتمنت مهندسی پوهنځی انجنیری مؤسسه تحصیلات عالی پکتیکا,44,187.3082,236.7268
دیپارتمنت مالی و بانکی پوهنځی اقتصاد مؤسسه تحصیلات عالی پکتیکا,44,189.8635,229.0318
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,174.4382,224.5084
انستیتیوت کثیرالرشتوی (شرنه) ولایت پکتیکا,44,143.4912,220.9079
دیپارتمنت فزیک پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,153.5636,194.0556
دیپارتمنت فقه و قانون پوهنځی شرعیات مؤسسه تحصیلات عالی پکتیکا,44,153.013,192.2054
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,152.0007,192.1625
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,151.7569,190.5316
دیپارتمنت علوم حیوانی پوهنځی زراعت مؤسسه تحصیلات عالی پکتیکا,44,150.1394,190.1696
دیپارتمنت زبان و ادبیات پشتو پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,151.6485,189.6645
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات مؤسسه تحصیلات عالی پکتیکا,44,155.3785,186.4138
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,159.7732,184.4788
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,160.1698,180.4487
انستیتیوت اداره و حسابداری (شرنه) ولایت پکتیکا,44,156.8884,175.1206
دیپارتمنت علوم و فرهنگ اسلامی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی پکتیکا,44,152.1441,166.8736
دیپارتمنت فقه و قانون پوهنځی شرعیات مؤسسه تحصیلات عالی پکتیکا (مدارس),44,159.9159,161.9183
انستیتیوت اداره و حسابداری ولسوالی ارگون ولایت پکتیکا,44,158.1985,158.1985
دیپارتمنت سیول پوهنځی انجنیری پوهنتون هلمند,44,218.5518,296.684
دیپارتمنت برق پوهنځی انجنیری پوهنتون هلمند,44,182.7503,258.4694
دیپارتمنت اداره تجارت پوهنځی اقتصاد پوهنتون هلمند,44,192.0303,246.7475
دیپارتمنت مالی و بانکی پوهنځی اقتصاد پوهنتون هلمند,44,188.1325,245.557
دیپارتمنت عمومی پوهنځی وترنری پوهنتون هلمند,44,177.7508,244.0488
دیپارتمنت آبیاری پوهنځی انجنیری پوهنتون هلمند,44,171.6741,223.0437
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون هلمند,44,150.0183,201.0245
انستیتیوت اداره و مدیریت ولایت هلمند,44,140.5168,200.42
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون هلمند,44,159.4534,199.893
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی تعلیم و تربیه پوهنتون هلمند,44,163.6478,197.0847
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون هلمند,44,157.2744,196.8308
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون هلمند,44,150.448,195.4859
دیپارتمنت زبان و ادبیات پشتو پوهنځی تعلیم و تربیه پوهنتون هلمند,44,150.1079,191.0828
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون هلمند,44,150.1394,190.3244
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون هلمند,44,154.0057,189.3753
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون هلمند (مدارس),44,171.1992,188.5291
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون هلمند,44,153.432,182.9598
انستیتیوت کثیرالرشتوی ولایت هلمند,44,143.2792,182.7945
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون هلمند,44,150.0402,179.9853
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون هلمند,44,151.626,177.8951
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون هلمند,44,153.8277,171.5409
انستیتیوت زراعت و وترنری ولایت هلمند,44,143.6998,164.8934
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون غزنی,44,246.8008,298.8743
دیپارتمنت تکنالوژی معلوماتی پوهنځی کمپیوتر ساینس پوهنتون غزنی,44,244.5322,298.1356
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون غزنی,44,234.3162,294.8331
دیپارتمنت امورمالی و بانکی پوهنځی اقتصاد پوهنتون غزنی,44,219.6753,271.2396
دیپارتمنت انجنیری جیولوجی و اکتشاف معادن  پوهنځی جیولوجی و معادن پوهنتون تخنیکی غزنی,44,189.0479,262.015
دیپارتمنت  برق پوهنځی الکترومیخانیک پوهنتون تخنیکی غزنی,44,219.5864,261.5637
دیپارتمنت انرژی پوهنځی الکترومیخانیک پوهنتون تخنیکی غزنی,44,195.8953,253.5166
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون غزنی,44,156.2284,250.6655
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون غزنی,44,198.4469,230.5522
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون غزنی,44,179.0388,227.1525
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون غزنی,44,163.4923,221.7017
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون غزنی,44,150.0634,219.2237
دیپارتمنت نفت و گاز پوهنځی جیولوجی و معادن پوهنتون تخنیکی غزنی,44,160.7531,216.8464
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون غزنی (مدارس),44,153.0251,215.6555
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون غزنی,44,169.8462,215.1075
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون غزنی,44,153.0881,211.429
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون غزنی,44,171.0448,210.8343
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون غزنی,44,150.8774,210.3948
انستیتیوت اداره و حسابداری ولایت غزنی,44,140.1759,198.1944
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات پوهنتون غزنی,44,155.1049,196.9862
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون غزنی,44,151.1193,196.333
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون غزنی,44,150.2919,195.5628
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون غزنی,44,162.4148,195.3216
انستیتیوت زراعت و وترنری ولایت غزنی,44,143.8529,185.8934
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون غزنی,44,150.5465,185.8191
دیپارتمنت تاریخ پوهنځی تعلیم و تربیه پوهنتون غزنی,44,150.3489,180.5711
انستیتیوت خاص غزنی ولایت غزنی,44,147.2117,173.1601
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون غزنی (مدارس),44,152.0659,164.6277
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون غزنی (مدارس),44,158.4283,158.4283
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس مؤسسه تحصیلات عالی وردگ,44,216.5582,273.4211
دیپارتمنت انجنیری شبکه پوهنځی کمپیوتر ساینس مؤسسه تحصیلات عالی وردگ,44,202.7651,248.1528
دیپارتمنت اقتصاد ملی پوهنځی اقتصاد مؤسسه تحصیلات عالی وردگ,44,187.4628,246.8698
دیپارتمنت اداره تجارت پوهنځی اقتصاد مؤسسه تحصیلات عالی وردگ,44,194.959,234.1588
دیپارتمنت اگرانومی پوهنځی زراعت مؤسسه تحصیلات عالی وردگ,44,150.2933,206.5185
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی وردگ,44,150.4036,199.2639
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات مؤسسه تحصیلات عالی وردگ,44,162.6459,198.9439
دیپارتمنت فقه و قانون پوهنځی شرعیات مؤسسه تحصیلات عالی وردگ,44,163.3271,190.6442
دیپارتمنت فزیک پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی وردگ,44,152.6488,186.0181
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی وردگ,44,151.5262,183.5087
"دیپارتمنت مرغداری، زنبورداری و ماهی پروری  پوهنځی مالداری پوهنتون علوم زراعتی و تکنالوژی افغانستان",44,158.5523,183.3539
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت مؤسسه تحصیلات عالی وردگ,44,150.2488,181.4611
انستیتیوت زراعت ولسوالی جلریز ولایت میدان وردک,44,149.622,173.0825
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات مؤسسه تحصیلات عالی وردگ (مدارس),44,163.8909,163.8909
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی وردگ,44,155.5352,155.5352
انستیتیوت کثیرالرشتوی چک ولایت میدان وردک,44,140.0003,150.5141
انستیتیوت کثیرالرشتوی سیدآباد دشت توپ ولایت میدان وردک,44,150.0087,150.0087
دیپارتمنت آموزش کمپیوتر پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی لوگر,44,169.5718,249.2817
دیپارتمنت استخراج معادن پوهنځی جیولوجی و معادن مؤسسه تحصیلات عالی لوگر,44,173.6114,247.5499
دیپارتمنت فقه و قانون پوهنځی شرعیات مؤسسه تحصیلات عالی لوگر,44,169.0776,231.3115
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی لوگر,44,150.2497,226.8864
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت مؤسسه تحصیلات عالی لوگر,44,154.1596,214.9939
دیپارتمنت اگرانومی پوهنځی زراعت مؤسسه تحصیلات عالی لوگر,44,150.4353,214.8987
دیپارتمنت فزیک پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی لوگر,44,153.0687,211.1397
دیپارتمنت تفحص و اکتشاف پوهنځی جیولوجی و معادن مؤسسه تحصیلات عالی لوگر,44,156.1824,203.36
انستیتیوت کثیرالرشتوی ولسوالی ازره ولایت لوگر,44,152.2178,202.259
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات مؤسسه تحصیلات عالی لوگر,44,159.8265,202.069
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی لوگر,44,155.4249,198.6698
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی لوگر,44,152.3862,198.2627
دیپارتمنت علوم و فرهنگ اسلامی پوهنځی تعلیم و تربیه مؤسسه تحصیلات عالی لوگر,44,152.7591,173.8209
انستیتیوت معادن ولایت لوگر,44,142.1244,170.6398
انستیتیوت زراعت عمومی ولایت لوگر,44,149.435,158.8377
دیپارتمنت فقه و قانون پوهنځی شرعیات مؤسسه تحصیلات عالی لوگر (مدارس),44,153.3863,158.7481
دیپارتمنت عمومی پوهنځی طب پوهنتون شیخ زاید خوست,44,332.9908,348.5589
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) پوهنځی اقتصاد پوهنتون شیخ زاید خوست,44,269.3674,328.9946
دیپارتمنت تکنالوژی معلوماتی پوهنځی کمپیوتر ساینس پوهنتون شیخ زاید خوست,45,287.9641,321.123
دیپارتمنت سیول پوهنځی انجنیری پوهنتون شیخ زاید خوست,45,293.194,318.712
دیپارتمنت مهندسی پوهنځی انجنیری پوهنتون شیخ زاید خوست,45,247.9237,314.1534
دیپارتمنت برق پوهنځی انجنیری پوهنتون شیخ زاید خوست,45,244.3565,311.8639
دیپارتمنت سیستم های معلوماتی پوهنځی کمپیوتر ساینس پوهنتون شیخ زاید خوست,45,276.1085,309.3109
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون شیخ زاید خوست,45,187.4081,303.9272
دیپارتمنت اقتصاد ملی پوهنځی اقتصاد پوهنتون شیخ زاید خوست,45,227.5879,287.3904
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون شیخ زاید خوست,45,203.9629,286.2042
دیپارتمنت امورمالی و بانکی پوهنځی اقتصاد پوهنتون شیخ زاید خوست,45,234.8015,286.1799
دیپارتمنت ژورنالیزم پوهنځی ژورنالیزم پوهنتون شیخ زاید خوست,45,195.4319,278.8162
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست,45,152.5827,264.9967
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون شیخ زاید خوست,45,202.0391,263.9415
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست,45,211.3095,261.1906
دیپارتمنت عمومی پوهنځی علوم وترنری پوهنتون شیخ زاید خوست,45,189.3762,250.7961
دیپارتمنت ارتباطات عامه پوهنځی ژورنالیزم پوهنتون شیخ زاید خوست,45,183.0033,247.1618
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست,45,180.9993,244.0166
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون شیخ زاید خوست,45,188.771,237.4756
دیپارتمنت حفاظۀ نباتات پوهنځی زراعت پوهنتون شیخ زاید خوست,45,161.0505,231.774
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست,45,151.8793,228.4513
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون شیخ زاید خوست (مدارس),45,150.7662,228.0736
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون شیخ زاید خوست,45,178.7638,225.7167
انستیتیوت میخانیکی ولایت خوست,45,147.123,218.6058
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست,45,153.3659,214.6552
دیپارتمنت تاریخ و جغرافیه پوهنځی علوم اجتماعی پوهنتون شیخ زاید خوست,45,166.2023,208.2591
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون شیخ زاید خوست (مدارس),45,150.6235,208.1465
دیپارتمنت زبان وادبیات اردو پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست,45,150.1273,201.8167
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست,45,180.294,201.6417
دیپارتمنت فلسفه و جامعه شناسی پوهنځی علوم اجتماعی پوهنتون شیخ زاید خوست,45,153.8601,201.5757
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون شیخ زاید خوست (مدارس),45,161.2582,198.7769
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون شیخ زاید خوست,45,160.4759,196.1588
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون شیخ زاید خوست,45,150.0085,194.7396
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون شیخ زاید خوست,45,156.8756,193.7254
دیپارتمنت زبان وادبیات عربی پوهنځی زبان و ادبیات پوهنتون شیخ زاید خوست,45,150.306,191.9982
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون شیخ زاید خوست,45,159.0465,190.235
انستیتیوت کثیرالرشتوی ولسوالی خوست ولایت بغلان,45,149.8428,183.4556
دیپارتمنت اگری بزنس پوهنځی زراعت پوهنتون شیخ زاید خوست,45,150.0942,183.1444
انستیتیوت کثیرالرشتوی تڼی ولایت خوست,45,153.7279,172.6659
انستیتیوت اقتصاد صبری ولایت خوست,45,143.9092,163.198
دیپارتمنت سیول پوهنځی انجنیری پوهنتون بغلان,45,245.1928,314.6286
